time,PN_m,PE_m,PD_m,P_m
16.9,463.676002,76.380519,-6.200073,469.965807
17,466.151221,78.154942,-5.742932,472.692434
17.1,468.489069,80.159565,-5.980362,475.334965
17.2,470.75773,82.240103,-6.256628,477.928258
17.3,473.105849,84.199798,-5.886893,480.576118
17.4,475.481317,85.821398,-4.769246,483.187894
17.5,477.878728,87.243756,-3.43051,485.789378
17.6,480.358207,88.852594,-2.553986,488.51337
17.7,482.787622,90.748446,-2.498167,491.248826
17.8,485.149794,92.682184,-2.987029,493.932417
17.9,487.737338,94.312269,-3.398115,496.783717
18,490.652037,95.304817,-3.321837,499.833436
18.1,493.695771,95.654916,-2.920636,502.885581
18.2,496.776215,95.82285,-2.759542,505.940947
18.3,499.768017,96.309021,-3.305759,508.973895
18.4,502.463298,97.173207,-4.537388,511.793499
18.5,505.022414,98.001859,-6.061124,514.479096
18.6,507.757101,98.254615,-7.459366,517.230011
18.7,510.60848,97.725619,-8.508699,519.945877
18.8,513.421187,96.801021,-9.402963,522.551594
18.9,516.212309,96.160765,-10.551214,525.198409
19,518.889769,96.265103,-12.073532,527.88193
19.1,521.41048,96.931188,-13.735577,530.52164
19.2,524.024196,97.489983,-15.283479,533.234695
19.3,526.843565,97.355018,-16.517148,536.017684
19.4,529.707349,96.559402,-17.357492,538.715951
19.5,532.629841,95.738428,-17.939499,541.463036
19.6,535.674766,95.597618,-18.387593,544.44877
19.7,538.664406,96.313116,-18.652767,547.524871
19.8,541.578105,97.349787,-18.637228,550.573493
19.9,544.591097,97.926444,-18.324954,553.628807
20,547.612617,97.631184,-17.792366,556.532114
20.1,550.502239,96.793571,-17.078385,559.207816
20.2,553.354866,96.164845,-16.080442,561.878871
20.3,556.124584,96.292375,-14.737287,564.591854
20.4,558.676407,97.042212,-13.162901,567.194658
20.5,561.197662,97.745103,-11.519356,569.762772
20.6,563.895678,97.777636,-10.031596,572.397969
20.7,566.679354,97.09495,-8.882854,575.005934
20.8,569.491147,96.263311,-7.898861,577.623739
20.9,572.323536,95.966339,-6.718378,580.352397
21,574.993655,96.477248,-5.262051,583.055102
21.1,577.532704,97.460594,-3.795068,585.710674
21.2,580.28308,98.339755,-2.707388,588.563072
21.3,583.311821,98.757777,-2.322195,591.61742
21.4,586.391468,98.898268,-2.558914,594.678375
21.5,589.427656,99.335679,-2.924682,597.74668
21.6,592.285826,100.485482,-2.930462,600.756539
21.7,594.796622,102.241607,-2.538557,603.52532
21.8,597.151089,104.220215,-2.220423,606.181661
21.9,599.609876,106.049886,-2.545279,608.921226
22,602.090007,107.523388,-3.64162,611.626452
22.1,604.492317,108.864153,-5.056762,614.237687
22.2,606.88298,110.495525,-6.124816,616.890367
22.3,609.216553,112.488416,-6.425483,619.548012
22.4,611.480722,114.584349,-6.201568,622.154889
22.5,613.853986,116.560532,-6.176296,624.852959
22.6,616.349791,118.217978,-6.897021,627.622597
22.7,618.838953,119.476382,-8.228603,630.320526
22.8,621.449446,120.512838,-9.519144,633.098233
22.9,624.319594,121.466559,-10.109447,636.106345
23,627.297229,122.247564,-9.868372,639.174206
23.1,630.310506,122.744658,-9.376117,642.219196
23.2,633.386768,122.952891,-9.421448,645.27899
23.3,636.336461,122.918544,-10.322273,648.181772
23.4,639.110617,122.660936,-11.666885,650.87956
23.5,641.958839,122.116744,-12.725155,653.594354
23.6,644.903813,121.248471,-12.998206,656.331527
23.7,647.776968,120.15212,-12.670539,658.947702
