Time,Value_1,Value_2,Value_3
3.82501,1.74788,6.221,0.65494
3.83751,1.75386,6.25293,0.667262
3.85001,1.76022,6.28267,0.679107
3.86251,1.76691,0.0265786,0.690378
3.87501,1.77387,0.0506453,0.700973
3.88751,1.78101,0.0713324,0.710781
3.90001,1.78827,0.0883421,0.719687
3.91251,1.79556,0.101432,0.727576
3.92501,1.80283,0.110418,0.734337
3.93751,1.81,0.115176,0.73987
3.95001,1.81703,0.115643,0.744085
3.96251,1.82389,0.111821,0.746915
3.97501,1.83059,0.103769,0.748308
3.98751,1.83713,0.0916111,0.748238
4.00001,1.84355,0.0755269,0.746699
4.01251,1.8499,0.0557534,0.743705
4.02501,1.85625,0.0325799,0.739292
4.03751,1.86268,0.00634488,0.733509
4.05001,1.86929,6.26062,0.726422
4.06251,1.87615,6.22945,0.718107
4.07501,1.88336,6.19647,0.708649
4.08751,1.891,6.16218,0.698146
4.10001,1.89913,6.12707,0.686704
4.11251,1.90779,6.09166,0.674438
4.12501,1.91703,6.05647,0.661481
4.13751,1.92684,6.02201,0.647977
4.15001,1.9372,5.98878,0.634091
4.16251,1.94804,5.95727,0.620009
4.17501,1.95929,5.92793,0.605938
4.18751,1.97082,5.90118,0.592107
4.20001,1.98249,5.87741,0.578763
4.21251,1.99412,5.85693,0.566169
4.22501,2.00555,5.84004,0.554591
4.23751,2.01657,5.82694,0.544289
4.25001,2.02702,5.81782,0.535508
4.26251,2.03675,5.81278,0.528459
4.27501,2.04563,5.81187,0.523314
4.28751,2.05359,5.8151,0.520191
4.30001,2.0606,5.82242,0.519149
4.31251,2.06669,5.83371,0.520189
4.32501,2.07193,5.84884,0.523252
4.33751,2.07642,5.86759,0.52823
4.35001,2.08031,5.88972,0.534969
4.3625,2.08377,5.91495,0.543281
4.375,2.08696,5.94294,0.552955
4.3875,2.09005,5.97334,0.563765
4.4,2.09321,6.00573,0.575473
4.4125,2.09657,6.03971,0.587843
4.425,2.10025,6.07482,0.600635
4.4375,2.10434,6.1106,0.613612
4.45,2.10889,6.14659,0.626536
4.4625,2.11394,6.18233,0.639173
4.475,2.11948,6.21735,0.651285
4.4875,2.12547,6.25122,0.662634
4.5,2.13185,0.000333961,0.672979
4.5125,2.13853,0.0306749,0.682077
4.525,2.14541,0.0587058,0.689687
4.5375,2.15237,0.0841147,0.69557
4.55,2.15929,0.106634,0.699499
4.5625,2.16604,0.126042,0.701262
4.575,2.1725,0.142165,0.700668
4.5875,2.17858,0.154879,0.697558
4.6,2.18421,0.16411,0.691809
4.6125,2.18934,0.16983,0.68334
4.625,2.19397,0.172062,0.672118
4.6375,2.19813,0.170876,0.658157
4.65,2.20188,0.166388,0.641518
4.6625,2.20532,0.158761,0.62231
4.675,2.20855,0.148203,0.60068
4.6875,2.21173,0.134965,0.576811
4.7,2.21498,0.11934,0.550917
4.7125,2.21848,0.101658,0.523234
4.725,2.22234,0.0822836,0.494015
4.7375,2.22669,0.0616117,0.463529
4.75,2.23163,0.0400582,0.432056
4.7625,2.23724,0.0180554,0.399885
4.775,2.24356,6.27923,0.367314
4.7875,2.25059,6.25765,0.33465
4.8,2.2583,6.23692,0.302207
4.8125,2.26663,6.21747,0.27031
4.825,2.27549,6.19968,0.239287
4.8375,2.28476,6.18391,0.209472
4.85,2.2943,6.17046,0.181195
4.8625,2.30397,6.15962,0.154782
4.875,2.3136,6.15161,0.130542
4.8875,2.32306,6.14661,0.108759
4.9,2.33222,6.14475,0.0896892
4.9125,2.34099,6.14612,0.0735454
4.925,2.34929,6.15077,0.0604951
4.9375,2.3571,6.15868,0.0506539
4.95,2.36443,6.1698,0.0440833
4.9625,2.37133,6.18406,0.0407905
4.975,2.37789,6.20132,0.0407299
4.9875,2.38422,6.22143,0.0438077
5,2.39046,6.24417,0.0498863
5.0125,2.39677,6.26932,0.0587905
5.02499,2.40332,0.0134188,0.0703131
5.03749,2.41026,0.042541,0.0842199
5.04999,2.41773,0.0731738,0.100254
5.06249,2.42587,0.104969,0.118138
5.07499,2.43477,0.137562,0.137577
5.08749,2.44449,0.170578,0.158257
5.09999,2.45505,0.203639,0.179844
5.11249,2.46643,0.236376,0.201984
5.12499,2.47855,0.26843,0.224301
5.13749,2.49129,0.299467,0.246397
5.14999,2.50447,0.329179,0.267852
5.16249,2.51787,0.357294,0.288226
5.17499,2.53123,0.383579,0.307068
5.18749,2.54427,0.407842,0.32392
5.19999,2.55668,0.429931,0.33833
5.21249,2.56813,0.449733,0.349866
5.22499,2.57833,0.46717,0.358126
5.23749,2.58699,0.482194,0.362761
5.24999,2.59387,0.494779,0.363479
5.26249,2.59877,0.504916,0.360069
5.27499,2.60158,0.512612,0.352403
5.28749,2.60223,0.517879,0.340449
5.29999,2.60074,0.520743,0.32427
5.31249,2.59721,0.521234,0.304029
5.32499,2.59179,0.5194,0.279978
5.33749,2.58472,0.515304,0.252454
5.34999,2.57627,0.509032,0.221863
5.36249,2.56676,0.500701,0.18867
5.37499,2.55652,0.49046,0.153377
5.38749,2.54589,0.478499,0.11651
5.39999,2.5352,0.465043,0.0786028
5.41249,2.52477,0.450355,0.0401818
5.42499,2.51485,0.434735,0.00175658
5.43749,2.5057,0.418506,6.247
5.44999,2.49748,0.402017,6.20998
5.46249,2.49034,0.385624,6.17432
5.47499,2.48437,0.369688,6.1404
5.48749,2.47964,0.354564,6.10858
5.49999,2.47617,0.340589,6.07917
5.51249,2.47395,0.328077,6.05246
5.52499,2.47297,0.31731,6.02872
5.53749,2.47319,0.308533,6.00817
5.54999,2.47459,0.30195,5.99103
5.56249,2.47712,0.297717,5.97746
5.57499,2.48078,0.29594,5.96759
5.58749,2.48557,0.296678,5.96155
5.59999,2.49148,0.299935,5.95939
5.61249,2.49855,0.305666,5.96117
5.62499,2.50684,0.313771,5.96687
5.63749,2.5164,0.324105,5.97648
5.64999,2.5273,0.336472,5.98991
5.66249,2.53963,0.350634,6.00706
5.67498,2.55345,0.366312,6.02779
5.68748,2.56882,0.383193,6.05191
5.69998,2.58579,0.400938,6.07919
5.71248,2.60436,0.419187,6.10934
5.72498,2.6245,0.437575,6.14206
5.73748,2.64612,0.455735,6.17695
5.74998,2.66908,0.473316,6.21358
5.76248,2.69317,0.489994,6.25145
5.77498,2.71813,0.505479,0.0068261
5.78748,2.74364,0.51953,0.0454866
5.79998,2.76932,0.53196,0.0836099
5.81248,2.79477,0.542642,0.12054
5.82498,2.81956,0.551503,0.155616
5.83748,2.84328,0.558532,0.188195
5.84998,2.86551,0.563762,0.217668
5.86248,2.88589,0.567267,0.243483
5.87498,2.9041,0.569145,0.265162
5.88748,2.91989,0.569512,0.282308
5.89998,2.93307,0.568483,0.294619
5.91248,2.94352,0.566168,0.301889
5.92498,2.95121,0.562657,0.304015
5.93748,2.95615,0.558022,0.300989
5.94998,2.95843,0.55231,0.2929
5.96248,2.95821,0.545546,0.279927
5.97498,2.95568,0.537735,0.262335
5.98748,2.95111,0.528872,0.240467
5.99998,2.94478,0.518945,0.214733
6.01248,2.93702,0.507945,0.185603
6.02498,2.92817,0.495876,0.153596
6.03748,2.91858,0.482759,0.119267
6.04998,2.9086,0.468641,0.0831926
6.06248,2.89858,0.4536,0.0459622
6.07498,2.88883,0.437741,0.00816417
6.08748,2.87964,0.4212,6.25356
6.09998,2.87125,0.404138,6.21634
6.11248,2.86388,0.386738,6.18022
6.12498,2.85768,0.369197,6.1457
6.13748,2.85278,0.351715,6.11324
6.14998,2.84924,0.334493,6.08327
6.16248,2.8471,0.317722,6.05617
6.17498,2.84637,0.301574,6.03231
6.18748,2.84702,0.2862,6.01197
6.19998,2.849,0.271721,5.99543
6.21248,2.85226,0.25823,5.98289
6.22498,2.85672,0.245783,5.97454
6.23748,2.8623,0.234404,5.97049
6.24998,2.86891,0.224083,5.97081
6.26248,2.87648,0.214778,5.97552
6.27498,2.88492,0.206419,5.98458
6.28748,2.89414,0.198908,5.99789
6.29998,2.90406,0.192128,6.0153
6.31248,2.91461,0.185943,6.0366
6.32498,2.92569,0.180207,6.06153
6.33747,2.93722,0.174765,6.08977
6.34997,2.9491,0.169463,6.12095
6.36247,2.96124,0.164153,6.15466
6.37497,2.97354,0.158692,6.19045
6.38747,2.98588,0.152955,6.22782
6.39997,2.99817,0.146832,6.26628
6.41247,3.0103,0.140236,0.022103
6.42497,3.02216,0.133098,0.0611193
6.43747,3.03367,0.125377,0.0996044
6.44997,3.04474,0.117049,0.137025
6.46247,3.05532,0.108114,0.172862
6.47497,3.06535,0.0985892,0.206621
6.48747,3.07481,0.0885059,0.237839
6.49997,3.08371,0.0779085,0.266088
6.51247,3.09206,0.0668501,0.290984
6.52497,3.0999,0.05539,0.31219
6.53747,3.1073,0.0435909,0.329419
6.54997,3.11434,0.0315176,0.342442
6.56247,3.12111,0.0192355,0.351086
6.57497,3.12771,0.00681047,0.355235
6.58747,3.13426,6.27749,0.354836
6.59997,3.14087,6.26498,0.349896
6.61247,3.14765,6.25252,0.340482
6.62497,3.15471,6.24019,0.326722
6.63747,3.16214,6.22806,0.308802
6.64997,3.17002,6.21618,0.286964
6.66247,3.17842,6.20464,0.261504
6.67497,3.18738,6.19349,0.232768
6.68747,3.19693,6.1828,0.201149
6.69997,3.20707,6.17263,0.167082
6.71247,3.21776,6.163,0.131036
6.72497,3.22898,6.15395,0.0935098
6.73747,3.24065,6.14548,0.0550251
6.74997,3.25269,6.13758,0.0161178
6.76247,3.265,6.13022,6.26052
6.77497,3.27749,6.12334,6.22239
6.78747,3.29003,6.11685,6.18545
6.79997,3.30252,6.11066,6.1502
6.81247,3.31484,6.10464,6.11714
6.82497,3.32688,6.09866,6.0867
6.83747,3.33853,6.09257,6.0593
6.84997,3.34969,6.08623,6.0353
6.86247,3.36028,6.07949,6.015
6.87497,3.37018,6.07221,5.99866
6.88747,3.37932,6.06426,5.98649
6.89997,3.3876,6.05552,5.97863
6.91247,3.39494,6.0459,5.97516
6.92497,3.40125,6.03535,5.97611
6.93747,3.40645,6.02383,5.98146
6.94997,3.41046,6.01132,5.99112
6.96247,3.41319,5.99787,6.00497
6.97497,3.41459,5.98354,6.02282
6.98746,3.41459,5.96842,6.04444
6.99996,3.41317,5.95264,6.06955
7.01246,3.41031,5.93634,6.09785
7.02496,3.40604,5.91971,6.12895
7.03746,3.4004,5.90293,6.16247
7.04996,3.3935,5.88618,6.19795
7.06246,3.38547,5.86967,6.23492
7.07496,3.37649,5.85357,6.27285
7.08746,3.36679,5.83804,0.0280186
7.09996,3.35662,5.82324,0.0662233
7.11246,3.3463,5.80926,0.10369
7.12496,3.33615,5.79621,0.139825
7.13746,3.3265,5.78412,0.174037
7.14996,3.31771,5.77304,0.205752
7.16246,3.31013,5.76295,0.234425
7.17496,3.30409,5.75385,0.25955
7.18746,3.29989,5.74573,0.280673
7.19996,3.29782,5.73855,0.297402
7.21246,3.29811,5.73231,0.309417
7.22496,3.30095,5.72701,0.316474
7.23746,3.30647,5.72268,0.318416
7.24996,3.31474,5.71937,0.315175
7.26246,3.32578,5.71715,0.306778
7.27496,3.33954,5.71614,0.293347
7.28746,3.35588,5.71643,0.275104
7.29996,3.37462,5.71816,0.252365
7.31246,3.39549,5.72145,0.225538
7.32496,3.41818,5.7264,0.195116
7.33746,3.44231,5.73309,0.161658
7.34996,3.46749,5.74157,0.125781
7.36246,3.49328,5.75181,0.0881352
7.37496,3.51926,5.76375,0.0493866
7.38746,3.54503,5.77727,0.010196
7.39996,3.57023,5.79219,6.25439
7.41246,3.59451,5.80825,6.21619
7.42496,3.61764,5.82519,6.17934
7.43746,3.63939,5.84267,6.14433
7.44996,3.65963,5.86035,6.1116
7.46246,3.67828,5.87787,6.08153
7.47496,3.69529,5.89487,6.05445
7.48746,3.71068,5.911,6.03063
7.49996,3.72448,5.92592,6.0103
7.51246,3.73675,5.93934,5.99364
7.52496,3.74755,5.95098,5.98079
7.53746,3.75697,5.96062,5.97186
7.54996,3.76507,5.96808,5.9669
7.56246,3.77192,5.97321,5.96594
7.57496,3.77754,5.97593,5.96897
7.58746,3.78198,5.97621,5.97595
7.59996,3.78524,5.97406,5.98679
7.61246,3.78731,5.96956,6.00138
7.62496,3.78819,5.96282,6.01957
7.63745,3.78784,5.954,6.04117
7.64995,3.78624,5.94331,6.06598
7.66245,3.78337,5.93102,6.09374
7.67495,3.77922,5.9174,6.12419
7.68745,3.7738,5.90276,6.15701
7.69995,3.76715,5.88745,6.19188
7.71245,3.75935,5.87182,6.22841
7.72495,3.75051,5.8562,6.2662
7.73745,3.7408,5.84096,0.0216195
7.74995,3.73042,5.82642,0.0605716
7.76245,3.71962,5.81289,0.0993646
7.77495,3.70868,5.80064,0.137473
7.78745,3.69793,5.78991,0.174357
7.79995,3.68771,5.78092,0.209476
7.81245,3.67834,5.77382,0.242303
7.82495,3.67017,5.76875,0.272341
7.83745,3.66349,5.7658,0.299138
7.84995,3.65857,5.76505,0.322304
7.86245,3.6556,5.76654,0.341523
7.87495,3.65474,5.77031,0.356568
7.88745,3.65604,5.7764,0.367302
7.89995,3.65951,5.78483,0.373687
7.91245,3.66506,5.7956,0.375781
7.92495,3.67255,5.80872,0.373734
7.93745,3.68177,5.82419,0.367778
7.94995,3.69247,5.84198,0.358221
7.96245,3.70436,5.86205,0.345428
7.97495,3.71712,5.88432,0.32981
7.98745,3.73046,5.90867,0.311811
7.99995,3.74404,5.93496,0.291888
8.01245,3.7576,5.96299,0.270503
8.02495,3.77088,5.99254,0.248114
8.03745,3.78367,6.02332,0.225162
8.04995,3.79579,6.05505,0.202071
8.06245,3.80714,6.08737,0.179241
8.07495,3.81765,6.11995,0.157053
