Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
31.8,2.439,0.346663,-0.170678,101.269,0,0,2803.14,59.0052,127.948
32,2.519,0.356069,-0.256995,101.269,0,0,2820.9,55.8482,142.632
32.2001,2.86078,0.574738,0.249607,101.269,0,0,2835.66,46.0425,157.234
32.4001,2.835,0.422346,-0.0280786,101.269,0,0,2849.58,32.4009,169.889
32.6001,2.84754,0.182993,-0.299513,101.269,0,0,2869.31,24.9573,179.415
32.8001,3.02491,0.0985944,0.221336,101.269,0,0,2888.87,14.139,184.725
33.0001,3.1463,-0.0916214,0.225152,101.269,0,0,2904.34,-3.34773,185.169
33.2001,3.33353,-0.233097,-0.28117,101.269,0,0,2924.17,-14.0299,180.703
33.4001,3.32301,-0.442679,0.0316103,101.269,0,0,2944.37,-21.7583,171.985
33.6001,3.29397,-0.560996,0.316631,101.269,0,0,2958.61,-35.8624,160.063
33.8001,3.6618,-0.397412,-0.225381,101.269,0,0,2974.06,-45.9967,146.133
34.0001,3.73362,-0.38575,-0.126451,101.269,0,0,2992.58,-49.5161,132.144
34.2001,3.60786,-0.504158,0.387222,101.269,0,0,3009.85,-58.5127,119.377
34.4001,3.78456,-0.15066,0.151193,101.269,0,0,3028.43,-67.1024,108.24
34.6001,3.90602,0.129204,0.115689,101.269,0,0,3050.54,-66.0394,100.686
34.8001,4.01791,-0.123556,0.603209,101.269,0,0,3073.2,-69.5759,97.6275
35.0001,4.10946,0.0814136,0.651795,101.269,0,0,3094.76,-79.1612,97.5484
35.2001,4.17337,0.490127,0.494543,101.269,0,0,3117.94,-79.6256,99.7155
35.4001,4.35079,0.123455,0.705475,101.269,0,0,3141.04,-80.264,103.457
35.6001,4.46102,-0.029793,0.709749,101.269,0,0,3162.15,-90.4307,106.311
35.8001,4.51409,0.448663,0.476826,101.269,0,0,3184.97,-94.7362,106.374
36.0001,4.55711,0.226123,0.326752,101.269,0,0,3208.4,-93.5175,103.037
36.2001,4.6706,-0.176955,0.176439,101.269,0,0,3229.18,-101.076,95.2576
36.4001,4.77524,0.277245,-0.00794154,101.269,0,0,3248.16,-106.956,82.7523
36.6001,4.80969,0.37636,-0.184628,101.269,0,0,3265.46,-104.04,66.8186
36.8001,4.89056,-0.113515,-0.362279,101.269,0,0,3280.76,-104.09,48.8398
37.0001,5.00066,0.139152,-0.337204,101.269,0,0,3294.53,-105.084,29.5529
37.2001,5.15452,0.447015,-0.184777,101.269,0,0,3306.85,-98.4388,10.4844
37.4001,5.23035,-0.0248694,-0.319976,101.269,0,0,3321.35,-91.4817,-6.83312
37.6001,5.3116,-0.133071,-0.187859,101.269,0,0,3339.91,-88.5677,-21.4215
37.8001,5.42572,0.146711,0.260738,101.269,0,0,3357.9,-77.8863,-32.0272
38.0001,5.54625,-0.205009,0.18221,101.269,0,0,3376.25,-63.9664,-37.7756
38.2001,5.68518,-0.526506,0.0592379,101.269,0,0,3399.37,-58.8183,-38.5923
38.4001,5.56554,-0.316994,0.58016,101.269,0,0,3421.13,-50.4449,-35.37
38.6001,5.67651,-0.381837,0.577584,101.269,0,0,3438.96,-35.7597,-28.9761
38.8001,6.01359,-0.574238,0.0928599,101.269,0,0,3460.21,-29.341,-21.032
39.0001,5.95364,-0.388848,0.449336,101.269,0,0,3482.68,-25.3705,-13.9415
39.2001,5.99603,-0.167954,0.631879,101.269,0,0,3502.41,-12.9756,-8.47509
39.4001,6.1712,-0.0837386,0.0899233,101.269,0,0,3524.56,-5.51751,-5.29687
39.6001,0.0104229,0.111547,0.185934,101.269,0,0,3548.58,-4.86857,-6.43858
39.8001,0.197054,0.25297,0.650889,101.269,0,0,3569.51,5.0234,-11.5117
40.0001,0.152831,0.465981,0.258046,101.269,0,0,3589.45,16.3769,-18.4734
40.2001,0.170268,0.559982,0.071338,101.269,0,0,3611.73,19.7167,-26.985
40.4001,0.534802,0.378693,0.616261,101.269,0,0,3631.68,29.0741,-35.8167
40.6001,0.569354,0.411179,0.42315,101.269,0,0,3649.3,44.1769,-42.6035
40.8001,0.459352,0.488261,-0.0459669,101.269,0,0,3671.87,51.2382,-45.964
41.0001,0.646339,0.100299,0.240917,101.269,0,0,3694.49,59.0497,-44.9703
41.2001,0.768084,-0.118128,0.203554,101.269,0,0,3711.86,74.7376,-38.8728
41.4001,0.871952,0.133347,-0.281489,101.269,0,0,3730.82,84.205,-27.8879
41.6001,0.96573,-0.142509,-0.267836,101.269,0,0,3749.57,88.2651,-13.0195
