time,VN_m_per_sec,VE_m_per_sec,VD_m_per_sec,V_m_per_sec
4.95,30.588836,1.567613,3.816833,30.86588
4.975,30.689163,1.269341,3.039151,30.865391
5,30.775948,1.364918,1.891314,30.864203
5.025,30.805633,1.827102,0.416807,30.862583
5.05,30.722406,2.604798,-1.320469,30.860895
5.075,30.474359,3.624867,-3.237841,30.859518
5.1,30.030126,4.796462,-5.23917,30.858765
5.125,29.391517,6.018294,-7.223918,30.85881
5.15,28.598498,7.187859,-9.09826,30.859646
5.175,27.724914,8.210593,-10.785283,30.861092
5.2,26.866121,9.006706,-12.231314,30.86283
5.225,26.121862,9.514334,-13.40678,30.864477
5.25,25.578553,9.689215,-14.301975,30.865673
5.275,25.294627,9.502522,-14.919904,30.866157
5.3,25.291216,8.93908,-15.269141,30.865829
5.325,25.549184,7.997762,-15.359334,30.864772
5.35,26.01267,6.694508,-15.200769,30.863227
5.375,26.598719,5.066773,-14.80781,30.86155
5.4,27.211841,3.17702,-14.204558,30.860123
5.425,27.761245,1.112659,-13.430193,30.859275
5.45,28.177349,-1.019097,-12.541484,30.859202
5.475,28.423664,-3.101035,-11.610955,30.859931
5.5,28.500976,-5.018025,-10.720725,30.861305
5.525,28.44276,-6.668056,-9.953525,30.863023
5.55,28.303281,-7.969433,-9.383104,30.864708
5.575,28.141803,-8.863164,-9.066013,30.86599
5.6,28.007028,-9.311612,-9.035845,30.866588
5.625,27.925385,-9.295894,-9.300122,30.866374
5.65,27.895514,-8.814554,-9.83956,30.865401
5.675,27.889875,-7.884882,-10.609579,30.86389
5.7,27.863006,-6.546434,-11.54432,30.862181
5.725,27.764623,-4.864629,-12.563496,30.86066
5.75,27.554596,-2.931623,-13.581935,30.859669
5.775,27.216046,-0.862335,-14.520595,30.859431
5.8,26.763019,1.214693,-15.316817,30.859999
5.825,26.240531,3.169686,-15.931233,30.861246
5.85,25.716915,4.884031,-16.349453,30.862892
5.875,25.270577,6.259493,-16.57824,30.864565
5.9,24.974522,7.222673,-16.637588,30.865889
5.925,24.882116,7.725231,-16.55131,30.866564
5.95,25.016744,7.742046,-16.338914,30.866436
5.975,25.366932,7.269858,-16.010895,30.865528
6,25.887644,6.327976,-15.568411,30.864038
6.025,26.507733,4.960879,-15.007026,30.862292
6.05,27.142735,3.240809,-14.323069,30.860674
6.075,27.711025,1.267684,-13.520473,30.859539
6.1,28.150139,-0.835761,-12.615759,30.859134
6.125,28.429338,-2.933889,-11.639434,30.859543
6.15,28.555045,-4.89119,-10.633266,30.860665
6.175,28.567532,-6.585076,-9.644211,30.862241
6.2,28.529768,-7.915177,-8.716838,30.86391
6.225,28.511409,-8.807507,-7.886288,30.865291
6.25,28.571963,-9.214108,-7.173365,30.866066
6.275,28.746877,-9.110538,-6.582439,30.866055
6.3,29.03929,-8.493988,-6.102099,30.865253
6.325,29.418942,-7.383832,-5.707966,30.86383
6.35,29.828494,-5.82454,-5.36701,30.862099
6.375,30.196258,-3.888957,-5.042683,30.860438
6.4,30.452922,-1.679019,-4.700161,30.859214
