Time,Value_1,Value_2,Value_3
10.6,0.523599,0.174974,1.91285
10.625,0.523599,0.127783,2.40509
10.65,0.523599,0.0803011,2.76091
10.675,0.523599,0.0326361,2.96013
10.7,0.523599,-0.0151033,2.99145
10.725,0.523599,-0.0628082,2.85309
10.75,0.523599,-0.11037,2.55289
10.775,0.523599,-0.15768,2.1079
10.8,0.523599,-0.204631,1.54334
10.825,0.523599,-0.251116,0.891241
10.85,0.523599,-0.297028,0.188589
10.875,0.523599,-0.342263,-0.524759
10.9,0.523599,-0.386718,-1.20834
10.925,0.523599,-0.430291,-1.82339
10.95,0.523599,-0.472884,-2.33501
10.975,0.523599,-0.514399,-2.71418
11,0.523599,-0.554742,-2.93941
11.025,0.523599,-0.59382,-2.9979
11.05,0.523599,-0.631545,-2.88635
11.075,0.523599,-0.66783,-2.61109
11.1,0.523599,-0.702594,-2.18772
11.125,0.523599,-0.735756,-1.64026
11.15,0.523599,-0.76724,-0.99976
11.175,0.523599,-0.796977,-0.302554
11.2,0.523599,-0.824896,0.411812
11.225,0.523599,-0.850936,1.10282
11.25,0.523599,-0.875036,1.73128
11.275,0.523599,-0.897142,2.26153
11.3,0.523599,-0.917203,2.66351
11.325,0.523599,-0.935173,2.91441
11.35,0.523599,-0.951012,3
11.375,0.523599,-0.964684,2.91543
11.4,0.523599,-0.976156,2.66549
11.425,0.523599,-0.985404,2.26436
11.45,0.523599,-0.992406,1.73479
11.475,0.523599,-0.997146,1.10683
11.5,0.523599,-0.999613,0.41608
11.525,0.523599,-0.999802,-0.298267
11.55,0.523599,-0.997712,-0.995696
11.575,0.523599,-0.993348,-1.63665
11.6,0.523599,-0.98672,-2.18477
11.625,0.523599,-0.977843,-2.60896
11.65,0.523599,-0.966737,-2.88518
11.675,0.523599,-0.953428,-2.99774
11.7,0.523599,-0.937946,-2.94026
11.725,0.523599,-0.920326,-2.71601
11.75,0.523599,-0.900608,-2.33771
11.775,0.523599,-0.878838,-1.82681
11.8,0.523599,-0.855065,-1.21228
11.825,0.523599,-0.829342,-0.529001
11.85,0.523599,-0.80173,0.184289
11.875,0.523599,-0.77229,0.887126
11.9,0.523599,-0.74109,1.53964
11.925,0.523599,-0.708201,2.10483
11.95,0.523599,-0.673698,2.55063
11.975,0.523599,-0.637659,2.85175
12,0.523599,-0.600167,2.99112
12.025,0.523599,-0.561307,2.96083
12.05,0.523599,-0.521167,2.7626
12.075,0.523599,-0.47984,2.40766
12.1,0.523599,-0.437419,1.91617
12.125,0.523599,-0.394001,1.31598
12.15,0.523599,-0.349685,0.641153
12.175,0.523599,-0.304572,-0.0700429
12.2,0.523599,-0.258765,-0.777266
12.225,0.523599,-0.212368,-1.4404
12.25,0.523599,-0.165487,-2.02184
12.275,0.523599,-0.118229,-2.48859
12.3,0.523599,-0.0707015,-2.81419
12.325,0.523599,-0.0230128,-2.98016
12.35,0.523599,0.0247284,-2.97709
12.375,0.523599,0.0724133,-2.80516
12.4,0.523599,0.119933,-2.47412
12.425,0.523599,0.16718,-2.00274
12.45,0.523599,0.214045,-1.41777
12.475,0.523599,0.260422,-0.752374
12.5,0.523599,0.306206,-0.044305
12.525,0.523599,0.351293,0.666277
12.55,0.523599,0.395578,1.33907
12.575,0.523599,0.438962,1.9359
12.6,0.523599,0.481345,2.42293
12.625,0.523599,0.522631,2.77253
12.65,0.523599,0.562726,2.96487
12.6749,0.523599,0.601539,2.98903
12.6999,0.523599,0.63898,2.84366
12.7249,0.523599,0.674965,2.53698
12.7499,0.523599,0.709412,2.08641
12.7749,0.523599,0.742241,1.51749
12.7999,0.523599,0.773379,0.862502
12.8249,0.523599,0.802755,0.158588
12.8499,0.523599,0.8303,-0.55432
12.8749,0.523599,0.855953,-1.23579
12.8999,0.523599,0.879656,-1.84716
12.9249,0.523599,0.901353,-2.35376
12.9499,0.523599,0.920996,-2.72685
12.9749,0.523599,0.93854,-2.94527
12.9999,0.523599,0.953944,-2.99663
13.0249,0.523599,0.967175,-2.87802
13.0499,0.523599,0.978201,-2.59616
13.0749,0.523599,0.986997,-2.16705
13.0999,0.523599,0.993544,-1.61501
13.1249,0.523599,0.997826,-0.971377
13.1499,0.523599,0.999834,-0.272642
13.1749,0.523599,0.999564,0.441558
13.1999,0.523599,0.997015,1.13071
13.2249,0.523599,0.992193,1.75573
13.2499,0.523599,0.98511,2.28116
13.2749,0.523599,0.975782,2.6772
13.2999,0.523599,0.96423,2.92139
13.3249,0.523599,0.95048,2.99987
13.3499,0.523599,0.934564,2.9082
13.3749,0.523599,0.916518,2.65156
13.3999,0.523599,0.896382,2.24453
13.4249,0.523599,0.874204,1.71019
13.4499,0.523599,0.850033,1.07884
13.4749,0.523599,0.823925,0.386299
13.4999,0.523599,0.795939,-0.328154
13.5249,0.523599,0.766139,-1.02399
13.5499,0.523599,0.734592,-1.66175
13.5749,0.523599,0.701371,-2.20525
13.5999,0.523599,0.666552,-2.62367
13.6249,0.523599,0.630214,-2.89327
13.6499,0.523599,0.592439,-2.99875
13.6749,0.523599,0.553313,-2.93415
13.6999,0.523599,0.512927,-2.70312
13.7249,0.523599,0.471371,-2.31876
13.7499,0.523599,0.428742,-1.80288
13.7749,0.523599,0.385135,-1.18474
13.7999,0.523599,0.34065,-0.499394
13.8249,0.523599,0.295389,0.214274
13.8499,0.523599,0.249454,0.915788
13.8749,0.523599,0.202951,1.56536
13.8999,0.523599,0.155985,2.12614
13.9249,0.523599,0.108664,2.56632
13.9499,0.523599,0.0610953,2.86094
13.9749,0.523599,0.0133873,2.99328
13.9999,0.523599,-0.0343513,2.95584
14.0249,0.523599,-0.0820116,2.75074
14.0499,0.523599,-0.129485,2.38962
14.0749,0.523599,-0.176663,1.89295
14.0999,0.523599,-0.223439,1.28891
14.1249,0.523599,-0.269705,0.611765
14.1499,0.523599,-0.315357,-0.100082
14.1749,0.523599,-0.36029,-0.806252
14.1999,0.523599,-0.404401,-1.46669
14.2249,0.523599,-0.447591,-2.04394
14.2499,0.523599,-0.489761,-2.50525
14.2749,0.523599,-0.530815,-2.82446
14.2999,0.523599,-0.570658,-2.98346
14.3249,0.523599,-0.609201,-2.97324
14.3499,0.523599,-0.646356,-2.79437
14.3749,0.523599,-0.682037,-2.457
14.3999,0.523599,-0.716164,-1.98027
14.4249,0.523599,-0.748658,-1.39121
14.4499,0.523599,-0.779446,-0.723246
14.4749,0.523599,-0.808458,-0.0142554
14.4999,0.523599,-0.835627,0.695544
14.5249,0.523599,-0.860891,1.36589
14.5499,0.523599,-0.884194,1.95876
14.5749,0.523599,-0.90548,2.44053
14.5999,0.523599,-0.924704,2.78387
14.6249,0.523599,-0.941819,2.9693
14.6499,0.523599,-0.956788,2.98631
14.6749,0.523599,-0.969576,2.83394
14.6999,0.523599,-0.980154,2.52082
14.7249,0.523599,-0.988499,2.06471
14.7499,0.523599,-0.99459,1.49149
14.7749,0.523599,-0.998414,0.833677
14.7999,0.523599,-0.999963,0.128572
14.8249,0.523599,-0.999233,-0.583826
14.8499,0.523599,-0.996225,-1.26311
14.8749,0.523599,-0.990947,-1.87074
14.8999,0.523599,-0.98341,-2.37227
14.9249,0.523599,-0.973631,-2.73924
14.9499,0.523599,-0.961634,-2.95083
14.9749,0.523599,-0.947444,-2.99505
14.9999,0.523599,-0.931095,-2.86939
15.0249,0.523599,-0.912624,-2.58097
15.0499,0.523599,-0.892073,-2.14616
15.0749,0.523599,-0.869489,-1.58961
15.0999,0.523599,-0.844923,-0.942896
15.1249,0.523599,-0.818431,-0.242702
15.1499,0.523599,-0.790074,0.471259
15.1749,0.523599,-0.759916,1.15849
15.1999,0.523599,-0.728026,1.78001
15.2249,0.523599,-0.694477,2.30056
15.2499,0.523599,-0.659345,2.69063
15.2749,0.523599,-0.62271,2.92808
15.2999,0.523599,-0.584655,2.99944
15.3249,0.523599,-0.545269,2.90067
15.3499,0.523599,-0.504639,2.63737
15.3749,0.523599,-0.462859,2.22448
15.3999,0.523599,-0.420024,1.68541
15.4249,0.523599,-0.376232,1.05075
15.4499,0.523599,-0.331583,0.356479
15.4749,0.523599,-0.286177,-0.358008
15.4999,0.523599,-0.24012,-1.05219
15.5249,0.523599,-0.193515,-1.68669
15.5499,0.523599,-0.146469,-2.22551
15.5749,0.523599,-0.0990892,-2.63811
15.5999,0.523599,-0.0514835,-2.90107
15.6249,0.523599,-0.00376051,-2.99947
15.6499,0.523599,0.0439711,-2.92774
15.6749,0.523599,0.0916024,-2.68995
15.6999,0.523599,0.139025,-2.29958
15.7249,0.523599,0.186131,-1.77877
15.7499,0.523599,0.232812,-1.15707
15.7749,0.523599,0.278963,-0.469738
15.7999,0.523599,0.324478,0.244237
15.8249,0.523599,0.369253,0.944358
15.8499,0.523599,0.413187,1.59091
15.8749,0.523599,0.456179,2.14723
15.8999,0.523599,0.498132,2.58176
15.9249,0.523599,0.538949,2.86984
15.9499,0.523599,0.578537,2.99514
15.9749,0.523599,0.616807,2.95056
15.9999,0.523599,0.653672,2.73861
16.0249,0.523599,0.689046,2.37133
16.0499,0.523599,0.72285,1.86954
16.0749,0.523599,0.755006,1.26171
16.0999,0.523599,0.785441,0.582315
16.1249,0.523599,0.814087,-0.130111
16.1499,0.523599,0.840876,-0.835156
16.1749,0.523599,0.86575,-1.49283
16.1999,0.523599,0.88865,-2.06583
16.2249,0.523599,0.909524,-2.52165
16.2499,0.523599,0.928326,-2.83444
16.2749,0.523599,0.945011,-2.98646
16.2999,0.523599,0.959543,-2.96908
16.3249,0.523599,0.971888,-2.7833
16.3499,0.523599,0.982017,-2.43964
16.3749,0.523599,0.989909,-1.9576
16.3999,0.523599,0.995544,-1.36452
16.4249,0.523599,0.99891,-0.694045
16.4499,0.523599,0.999999,0.0157957
16.4749,0.523599,0.99881,0.724741
16.4999,0.523599,0.995343,1.39258
16.5249,0.523599,0.989608,1.98143
16.5499,0.523599,0.981618,2.45789
16.5749,0.523599,0.97139,2.79493
16.5999,0.523599,0.958948,2.97344
16.6249,0.523599,0.94432,2.9833
16.6499,0.523599,0.927541,2.82394
16.6749,0.523599,0.908647,2.5044
16.6999,0.523599,0.887682,2.04281
16.7249,0.523599,0.864694,1.46535
16.7499,0.523599,0.839735,0.804768
16.7749,0.523599,0.812862,0.0985424
16.7999,0.523599,0.784136,-0.613272
16.8249,0.523599,0.753623,-1.2903
16.8499,0.523599,0.721393,-1.89414
16.8749,0.523599,0.687518,-2.39055
16.8999,0.523599,0.652076,-2.75136
