time,phi_dot_deg_per_sec,theta_dot_deg_per_sec,psi_dot_deg_per_sec
4.875,0.771844,-0.754123,-2.026116
4.9,0.744997,-0.274164,-1.634047
4.925,0.682765,0.240738,-1.167703
4.95,0.60559,0.761441,-0.656395
4.975,0.538149,1.260891,-0.134056
5,0.502862,1.714008,0.366336
5.025,0.514394,2.097457,0.817148
5.05,0.576528,2.39026,1.197693
5.075,0.681535,2.575562,1.49297
5.1,0.811354,2.643119,1.690675
5.125,0.939931,2.59163,1.778284
5.15,1.036568,2.429885,1.741974
5.175,1.070634,2.175937,1.568545
5.2,1.017683,1.853978,1.250344
5.225,0.865996,1.48948,0.791667
5.25,0.62143,1.104204,0.213886
5.275,0.308442,0.713167,-0.443295
5.3,-0.033592,0.325084,-1.125563
5.325,-0.358051,-0.053862,-1.771914
5.35,-0.620901,-0.414896,-2.324765
5.375,-0.790213,-0.743,-2.739566
5.4,-0.85253,-1.016833,-2.991017
5.425,-0.813834,-1.212406,-3.073824
5.45,-0.69499,-1.308751,-2.99823
5.475,-0.523969,-1.29311,-2.783013
5.5,-0.328003,-1.1639,-2.449367
5.525,-0.127914,-0.931031,-2.017689
5.55,0.064763,-0.614201,-1.507207
5.575,0.248073,-0.24018,-0.937107
5.6,0.427884,0.160028,-0.327645
5.625,0.614544,0.553646,0.299544
5.65,0.818542,0.908226,0.921787
5.675,1.045884,1.193739,1.515604
5.7,1.293931,1.385131,2.05606
5.725,1.548497,1.465511,2.515221
5.75,1.783169,1.429613,2.860841
5.775,1.962147,1.286393,3.057382
5.8,2.047475,1.059126,3.071262
5.825,2.009653,0.781552,2.880014
5.85,1.837672,0.490182,2.481687
5.875,1.543444,0.215153,1.899287
5.9,1.158426,-0.026621,1.177684
5.925,0.725147,-0.233192,0.375238
5.95,0.288517,-0.414021,-0.445224
5.975,-0.110086,-0.583134,-1.22313
6,-0.436188,-0.751771,-1.904572
6.025,-0.664747,-0.922953,-2.445793
6.05,-0.782716,-1.089537,-2.816353
6.075,-0.790796,-1.236166,-3.001181
6.1,-0.702884,-1.344208,-3.000233
6.125,-0.54256,-1.397693,-2.82552
6.15,-0.33761,-1.388114,-2.496812
6.175,-0.114484,-1.316701,-2.037907
6.2,0.105698,-1.19399,-1.47468
6.225,0.308903,-1.037391,-0.834847
6.25,0.487851,-0.867833,-0.148536
6.275,0.640178,-0.706401,0.551349
6.3,0.76591,-0.571509,1.229564
6.325,0.865123,-0.476785,1.849893
6.35,0.936534,-0.429683,2.377246
6.375,0.977504,-0.430848,2.780185
6.4,0.985363,-0.474422,3.033571
6.425,0.959476,-0.549413,3.120922
6.45,0.903095,-0.642034,3.036037
6.475,0.824111,-0.738469,2.783524
6.5,0.734348,-0.82729,2.378166
6.525,0.647665,-0.900785,1.843402
6.55,0.577544,-0.954931,1.209368
6.575,0.534877,-0.988306,0.510892
6.6,0.52634,-1.000604,-0.214386
6.625,0.553484,-0.991514,-0.927752
6.65,0.6125,-0.960487,-1.591079
6.675,0.694657,-0.907515,-2.168457
6.7,0.787475,-0.834572,-2.627901
6.725,0.876638,-0.747061,-2.943182
6.75,0.948427,-0.654474,-3.09576
6.775,0.992065,-0.569746,-3.076543
6.8,1.001242,-0.507257,-2.887036
6.825,0.974231,-0.480041,-2.539428
6.85,0.912617,-0.497021,-2.055487
6.875,0.819282,-0.561027,-1.46446
6.9,0.696636,-0.667923,-0.800454
6.925,0.545915,-0.80685,-0.099769
6.95,0.367908,-0.961384,0.601417
6.975,0.164867,-1.11149,1.268701
7,-0.057043,-1.236215,1.870222
7.025,-0.285638,-1.316986,2.376584
7.05,-0.501826,-1.341088,2.760385
7.075,-0.680667,-1.3045,2.996256
7.1,-0.794705,-1.213037,3.062376
7.125,-0.819111,-1.080913,2.943772
7.15,-0.737232,-0.9266,2.63652
7.175,-0.544593,-0.767015,2.151053
7.2,-0.250046,-0.612026,1.513027
7.225,0.125661,-0.461386,0.761663
7.25,0.552341,-0.305332,-0.053238
7.275,0.992563,-0.128874,-0.874398
7.3,1.403894,0.081388,-1.640428
7.325,1.742938,0.329917,-2.290876
7.35,1.972573,0.606956,-2.774034
7.375,2.071033,0.887817,-3.056096
7.4,2.038408,1.137675,-3.127396
7.425,1.896174,1.320202,-3.001745
7.45,1.679428,1.406438,-2.708988
7.475,1.425952,1.380611,-2.28515
7.5,1.167047,1.241747,-1.765046
7.525,0.922633,1.001958,-1.179293
7.55,0.700477,0.683138,-0.554696
7.575,0.498284,0.313508,0.084189
7.6,0.307487,-0.075296,0.713938
7.625,0.117801,-0.450551,1.312059
7.65,-0.078205,-0.780568,1.857244
7.675,-0.281296,-1.037058,2.329276
7.7,-0.483144,-1.197884,2.708197
7.725,-0.665868,-1.249896,2.973201
7.75,-0.804038,-1.191057,3.102536
7.775,-0.869532,-1.030838,3.075867
7.8,-0.838843,-0.788056,2.879601
7.825,-0.701065,-0.486176,2.513774
7.85,-0.46354,-0.14749,1.997391
7.875,-0.152552,0.211488,1.36926
7.9,0.191424,0.581221,0.683395
7.925,0.522188,0.956467,0.00053
7.95,0.797344,1.331233,-0.621699
7.975,0.986586,1.694091,-1.137357
8,1.076888,2.026297,-1.517575
8.025,1.073405,2.303573,-1.751333
8.05,0.99616,2.500633,-1.841849
8.075,0.87409,2.596403,-1.80054
8.1,0.73863,2.578038,-1.641338
8.125,0.618369,2.44271,-1.377473
8.15,0.535118,2.197165,-1.021386
8.175,0.501145,1.855702,-0.587026
8.2,0.517465,1.437575,-0.092977
8.225,0.573669,0.964829,0.435451
8.25,0.650007,0.461219,0.9666
8.275,0.721976,-0.047756,1.465801
8.3,0.766596,-0.53448,1.900668
8.325,0.768454,-0.969578,2.246254
8.35,0.723446,-1.323741,2.48786
8.375,0.63912,-1.570849,2.620517
8.4,0.532005,-1.691459,2.64596
8.425,0.423279,-1.675524,2.569077
8.45,0.334045,-1.52356,2.395807
8.475,0.280943,-1.246103,2.133397
8.5,0.272513,-0.861782,1.792582
8.525,0.306914,-0.394762,1.390157
8.55,0.37195,0.127595,0.95003
8.575,0.447966,0.676233,0.501465
8.6,0.513151,1.221025,0.074746
8.625,0.54949,1.731098,-0.303998
8.65,0.547248,2.175664,-0.616507
8.675,0.5067,2.525766,-0.853176
8.7,0.437209,2.756755,-1.011039
8.725,0.354764,2.850855,-1.090321
8.75,0.279083,2.799107,-1.091343
8.775,0.23062,2.602225,-1.013217
8.8,0.227126,2.270207,-0.855107
8.825,0.27939,1.82084,-0.619977
8.85,0.38671,1.277593,-0.319533
8.875,0.534151,0.667648,0.022341
8.9,0.694309,0.020767,0.370693
8.925,0.834667,-0.630948,0.68641
8.95,0.928043,-1.253155,0.936364
8.975,0.960972,-1.810366,1.101509
9,0.935941,-2.268446,1.178818
9.025,0.867557,-2.597952,1.177102
9.05,0.776011,-2.777193,1.110276
9.075,0.681323,-2.794246,0.991796
9.1,0.599807,-2.647709,0.832075
9.125,0.542381,-2.346384,0.638715
9.15,0.513799,-1.908217,0.418463
9.175,0.512332,-1.358804,0.179546
9.2,0.530176,-0.729721,-0.066881
9.225,0.555138,-0.05684,-0.307119
9.25,0.573708,0.621361,-0.527203
9.275,0.574658,1.265612,-0.71607
9.3,0.551738,1.837937,-0.867949
9.325,0.504449,2.303964,-0.982794
9.35,0.437033,2.635221,-1.064751
