time,p_deg_per_sec,q_deg_per_sec,r_deg_per_sec
34.700001,30,-56.963882,-88.143098
34.800001,30,-54.75916,-171.372349
34.900001,30,-50.563128,-109.848917
35.000001,30,-44.528373,44.460343
35.100001,30,-36.874348,161.215389
35.200001,30,-27.879392,141.797008
35.300001,30,-17.870605,2.607279
35.400001,30,-7.211956,-138.784735
35.500001,30,3.708955,-162.94977
35.600001,30,14.494991,-49.476403
35.700001,30,24.753918,105.788082
35.800001,30,34.112672,171.696794
35.900001,30,42.230922,92.578775
36.000001,30,48.813449,-64.737542
36.100001,30,53.62088,-167.372151
36.200001,30,56.478394,-128.632915
36.300001,30,57.282078,18.758385
36.400001,30,56.002705,150.305084
36.500001,30,52.6868,154.893938
36.600001,30,47.454945,28.64889
36.700001,30,40.497397,-121.794948
36.800001,30,32.067165,-169.362532
36.900001,30,22.470814,-73.875061
37.000001,30,12.057315,84.012286
37.100001,30,1.205352,170.937171
37.200001,30,-9.690442,113.476954
37.300001,30,-20.233845,-39.833577
37.400001,30,-30.041447,-159.497973
37.500001,30,-38.756594,-144.439588
37.600001,30,-46.062363,-7.377753
37.700001,30,-51.693078,135.915832
37.800001,30,-55.443981,164.405708
37.900001,30,-57.178669,54.027398
38.000001,30,-56.834061,-101.986109
38.100001,30,-54.422689,-171.855246
38.200001,30,-50.032242,-96.563814
38.300001,30,-43.822378,60.29195
38.400001,30,-36.018918,166.221053
38.500001,30,-26.905634,131.748606
38.600001,30,-16.81393,-14.007628
38.700001,30,-6.110789,-147.932073
38.800001,30,4.814571,-156.903078
38.900001,30,15.564848,-33.343126
39.000001,30,25.749112,118.380686
39.100001,30,34.997013,170.11216
39.200001,30,42.97225,78.155392
39.300001,30,49.384807,-79.816709
39.400001,30,54.001491,-170.370216
39.500001,30,56.654416,-117.017511
39.600001,30,57.24711,35.176103
39.700001,30,55.758019,157.6576
39.800001,30,52.241294,146.970819
39.900001,30,46.82482,12.142539
40.000001,30,39.705566,-132.942151
